PlayerID,Name,University,Game,Ranking
101,Alex Chen,Asia Pacific University,League of Legends,1
102,Sarah Wong,University of Malaya,League of Legends,2
103,Michael Tan,Sunway University,League of Legends,3
104,Jessica Lee,Taylor's University,League of Legends,4
105,David Lim,MMU,League of Legends,5
106,Emily Ng,UCSI University,League of Legends,6
107,Ryan Goh,HELP University,League of Legends,7
108,Michelle Chong,Nottingham Malaysia,League of Legends,8
201,John Smith,Asia Pacific University,Valorant,1
202,Maria Garcia,University of Malaya,Valorant,2
203,Kevin Zhang,Sunway University,Valorant,3
204,Lisa Kim,Taylor's University,Valorant,4
205,Ahmed Hassan,MMU,Valorant,5
206,Sophie Turner,UCSI University,Valorant,6
207,James Wilson,HELP University,Valorant,7
208,Nina Patel,Nottingham Malaysia,Valorant,8
301,Tom Anderson,Asia Pacific University,DOTA 2,1
302,Emma Brown,University of Malaya,DOTA 2,2
303,Chris Lee,Sunway University,DOTA 2,3
304,Olivia Davis,Taylor's University,DOTA 2,4